,average,code,reference,speed,travelTimeMinutes,type,score,c-Value,speedBucket,segmentClosed,date,time
388,47.0,460599426,48.0,51.0,0.026,XDS,30.0,100.0,3.0,,2022-09-20,10:16
389,56.0,365655686,58.0,60.0,0.254,XDS,30.0,100.0,3.0,,2022-09-20,10:16
390,42.0,406789167,43.0,35.0,0.226,XDS,30.0,66.0,2.0,,2022-09-20,10:16
391,37.0,365617121,40.0,48.0,0.238,XDS,30.0,100.0,3.0,,2022-09-20,10:16
392,37.0,406789168,40.0,8.0,1.016,XDS,30.0,100.0,0.0,,2022-09-20,10:16
393,58.0,474343898,58.0,42.0,0.217,XDS,30.0,89.0,2.0,,2022-09-20,10:16
394,51.0,332675512,51.0,92.0,0.094,XDS,30.0,0.0,3.0,,2022-09-20,10:16
395,50.0,365617055,61.0,60.0,0.21,XDS,30.0,100.0,3.0,,2022-09-20,10:16
396,50.0,332847202,61.0,48.0,0.216,XDS,30.0,100.0,2.0,,2022-09-20,10:16
397,31.0,332470777,31.0,8.0,1.326,XDS,30.0,98.0,0.0,,2022-09-20,10:16
398,47.0,365646974,48.0,74.0,0.205,XDS,30.0,1.0,3.0,,2022-09-20,10:16
399,47.0,443258559,48.0,84.0,0.232,XDS,30.0,1.0,3.0,,2022-09-20,10:16
400,47.0,431443515,48.0,85.0,0.089,XDS,30.0,1.0,3.0,,2022-09-20,10:16
401,69.0,365641008,76.0,68.0,0.59,XDS,30.0,95.0,2.0,,2022-09-20,10:16
402,55.0,365646985,61.0,29.0,0.522,XDS,30.0,100.0,1.0,,2022-09-20,10:16
403,55.0,443258560,61.0,50.0,0.386,XDS,30.0,100.0,2.0,,2022-09-20,10:16
404,55.0,431443514,61.0,40.0,0.185,XDS,30.0,100.0,2.0,,2022-09-20,10:16
405,55.0,365641104,61.0,50.0,0.791,XDS,30.0,100.0,2.0,,2022-09-20,10:16
406,60.0,365641024,68.0,76.0,0.527,XDS,30.0,100.0,3.0,,2022-09-20,10:16
407,71.0,365641004,77.0,76.0,0.527,XDS,30.0,100.0,3.0,,2022-09-20,10:16
408,74.0,406797065,79.0,77.0,0.507,XDS,30.0,90.0,3.0,,2022-09-20,10:16
409,71.0,406797066,79.0,72.0,0.542,XDS,30.0,100.0,2.0,,2022-09-20,10:16
410,71.0,365640951,79.0,74.0,0.534,XDS,30.0,100.0,3.0,,2022-09-20,10:16
411,71.0,365640987,79.0,69.0,0.573,XDS,30.0,100.0,2.0,,2022-09-20,10:16
412,77.0,365640933,82.0,84.0,0.476,XDS,30.0,80.0,3.0,,2022-09-20,10:16
413,77.0,365640969,82.0,82.0,0.482,XDS,30.0,80.0,3.0,,2022-09-20,10:16
414,77.0,406789188,80.0,79.0,0.03,XDS,30.0,100.0,3.0,,2022-09-20,10:16
415,76.0,365708777,80.0,84.0,0.212,XDS,30.0,100.0,3.0,,2022-09-20,10:16
416,89.0,365658803,93.0,80.0,0.131,XDS,30.0,100.0,2.0,,2022-09-20,10:16
417,92.0,365772262,97.0,98.0,0.09,XDS,30.0,100.0,3.0,,2022-09-20,10:16
418,92.0,365659091,93.0,87.0,0.133,XDS,30.0,100.0,3.0,,2022-09-20,10:16
419,87.0,332846355,92.0,27.0,2.329,XDS,30.0,0.0,0.0,,2022-09-20,10:16
420,77.0,260972438,84.0,68.0,0.938,XDS,30.0,47.0,2.0,,2022-09-20,10:16
421,84.0,365619080,90.0,85.0,0.74,XDS,20.0,,3.0,,2022-09-20,10:16
422,74.0,365616692,80.0,92.0,0.691,XDS,30.0,100.0,3.0,,2022-09-20,10:16
423,84.0,406807392,90.0,85.0,0.192,XDS,20.0,,3.0,,2022-09-20,10:16
424,92.0,260939595,97.0,80.0,0.909,XDS,30.0,81.0,2.0,,2022-09-20,10:16
425,,260910529,,,,XDS,,,,True,2022-09-20,10:16
426,87.0,365637795,92.0,87.0,0.523,XDS,20.0,,3.0,,2022-09-20,10:16
427,87.0,406807393,92.0,87.0,0.323,XDS,20.0,,3.0,,2022-09-20,10:16
428,,332810611,,,,XDS,,,,True,2022-09-20,10:16
429,,406807390,,,,XDS,,,,True,2022-09-20,10:16
430,92.0,261064379,97.0,89.0,0.302,XDS,30.0,100.0,2.0,,2022-09-20,10:16
431,87.0,365693013,92.0,72.0,0.579,XDS,30.0,98.0,2.0,,2022-09-20,10:16
432,84.0,406797436,90.0,64.0,0.619,XDS,30.0,93.0,2.0,,2022-09-20,10:16
433,90.0,365616362,92.0,84.0,0.518,XDS,30.0,100.0,2.0,,2022-09-20,10:16
434,89.0,365766161,90.0,84.0,0.483,XDS,30.0,100.0,3.0,,2022-09-20,10:16
435,93.0,365707551,97.0,84.0,0.414,XDS,30.0,98.0,2.0,,2022-09-20,10:16
436,93.0,365626441,97.0,76.0,0.597,XDS,30.0,98.0,2.0,,2022-09-20,10:16
437,93.0,365645297,100.0,97.0,0.65,XDS,30.0,100.0,3.0,,2022-09-20,10:16
438,90.0,365766141,98.0,100.0,0.433,XDS,30.0,100.0,3.0,,2022-09-20,10:16
439,101.0,365645430,111.0,116.0,0.449,XDS,30.0,100.0,3.0,,2022-09-20,10:16
440,97.0,260334308,106.0,108.0,0.743,XDS,30.0,100.0,3.0,,2022-09-20,10:16
